4,1,1
5,1,1
7,1,1
12,1,1
27,1,1
30,1,1
32,1,1
34,1,1
35,1,1
37,1,1
38,1,1
40,0,1
45,1,1
51,1,1
62,1,1
69,1,1
71,1,1
79,1,1
85,1,1
93,1,1
96,1,1
108,1,1
115,1,1
120,1,1
122,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
134,0,1
166,1,1
193,0,1
194,1,1
195,0,1
196,1,1
201,1,1
202,1,1
204,1,1
210,1,1
211,1,1
212,1,1
217,1,1
225,1,1
244,1,1
245,0,1
247,1,1
265,1,1
267,1,1
277,1,1
285,1,1
290,1,1
292,1,1
295,1,1
297,1,1
302,1,1
325,1,1
326,1,1
330,1,1
332,1,1
337,1,1
338,1,1
340,1,1
351,1,1
352,1,1
384,1,1
389,1,1
392,1,1
400,1,1
420,1,1
431,1,1
439,1,1
447,1,1
463,1,1
466,1,1
493,1,1
520,1,1
523,1,1
529,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
554,1,1
561,1,1
566,1,1
567,1,1
572,1,1
574,1,1
578,1,1
579,1,1
580,1,1
581,1,1
582,1,1
583,1,1
584,1,1
601,1,1
655,1,1
689,1,1
695,1,1
703,1,1
749,1,1
777,1,1
788,1,1
799,1,1
801,1,1
855,1,1
865,0,1
910,1,1
911,1,1
914,1,1
917,1,1
918,1,1
930,1,1
932,1,1
933,1,1
934,1,1
960,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
975,1,1
982,1,1
984,1,1
989,1,1
999,1,1
1014,1,1
1015,1,1
1016,1,1
1017,1,1
1030,1,1
1045,1,1
1047,1,1
1057,1,1
1060,1,1
1068,1,1
1069,1,1
1075,1,1
1076,1,1
1077,1,1
1082,1,1
1090,1,1
1091,1,1
1093,1,1
1094,1,1
1095,1,1
1096,1,1
1105,1,1
1106,1,1
1107,1,1
1108,1,1
1109,1,1
1117,1,1
1148,1,1
1189,1,1
1196,1,1
1218,1,1
1223,0,1
1227,1,1
1249,1,1
1254,1,1
1264,1,1
1281,1,1
1285,1,1
1287,1,1
1288,1,1
1296,1,1
1297,1,1
1303,0,1
1304,1,1
1311,1,1
1316,1,1
1318,1,1
1333,1,1
1350,0,1
1352,1,1
1353,1,1
1354,1,1
1360,1,1
1370,0,1
1386,1,1
1399,1,1
1405,1,1
1445,1,1
1446,1,1
1453,1,1
1462,0,1
1463,0,1
1468,1,1
1475,1,1
1477,1,1
1478,1,1
1489,1,1
1504,1,1
1505,1,1
1509,1,1
1511,1,1
1512,1,1
1513,1,1
1519,1,1
1520,1,1
1526,1,1
1533,1,1
1534,1,1
1535,1,1
1536,1,1
1538,1,1
1539,1,1
1541,1,1
1542,1,1
1545,1,1
1546,1,1
1547,1,1
1550,1,1
1551,1,1
1552,1,1
1553,1,1
1561,1,1
1571,1,1
1576,1,1
1580,1,1
1585,1,1
1588,1,1
1589,1,1
1593,1,1
1594,1,1
1595,1,1
1603,1,1
1604,1,1
1607,1,1
1609,1,1
1610,1,1
1611,1,1
1612,1,1
1614,1,1
1621,1,1
1629,1,1
1633,1,1
1650,1,1
1651,1,1
1652,1,1
1653,1,1
1654,1,1
1670,1,1
1682,0,1
1690,1,1
1700,1,1
1701,1,1
1704,1,1
1710,1,1
1752,1,1
1753,0,1
1764,0,1
1768,1,1
1787,1,1
1788,1,1
1789,1,1
1791,1,1
1792,1,1
1793,1,1
1794,1,1
1815,1,1
1816,1,1
1817,1,1
1826,1,1
1834,1,1
1835,1,1
1840,1,1
1841,1,1
1844,1,1
1845,1,1
1846,1,1
1855,1,1
1859,1,1
1860,1,1
1870,1,1
1871,1,1
1876,1,1
1891,1,1
1903,1,1
1906,1,1
1911,1,1
1924,1,1
1950,1,1
1951,1,1
1952,1,1
1953,1,1
1954,1,1
1955,1,1
1956,0,1
1957,0,1
1958,0,1
1959,0,1
1960,0,1
1961,0,1
1962,0,1
1963,0,1
1964,0,1
1965,1,1
1966,1,1
1967,0,1
1968,0,1
1969,1,1
1971,1,1
1972,1,1
1973,1,1
2001,1,1
2004,1,1
2011,1,1
2015,1,1
2023,1,1
2024,1,1
2042,1,1
2054,1,1
2055,1,1
2058,1,1
2059,1,1
2061,1,1
2062,1,1
2063,1,1
2064,1,1
2066,1,1
2081,1,1
2089,1,1
2104,1,1
2203,1,1
2249,1,1
2250,1,1
2260,1,1
2262,1,1
2264,1,1
2265,1,1
2266,1,1
2293,0,1
2299,1,1
2309,1,1
2310,1,1
2315,1,1
2320,1,1
2378,1,1
2379,0,1
2409,1,1
2411,1,1
2412,1,1
2413,1,1
2414,1,1
2415,1,1
2417,1,1
2418,1,1
2419,1,1
2420,0,1
2446,1,1
2450,1,1
2457,1,1
2478,1,1
2491,1,1
